protein_id
6OD0
6OD1
6OH9
6OHA
6OI4
6OI8
6OJE
6OJF
6OJH
6OKG
6OKJ
6OL8
6OL9
6OLT
6OMK
6OMN
6ONB
6OO0
6OO9
6OOA
6OOB
6OOY
6OOZ
6OP0
6OQ1
6OQ3
6OQ4
6ORI
6OSU
6OT4
6OT7
6OT9
6OVN
6OVO
6OVZ
6OW7
6OWN
6OZF
6OZG
6OZU
6P20
6P22
6P3B
6P3T
6P3U
6P3V
6P4C
6P4E
6P4Y
6P5R
6P6A
6P6D
6P6G
6P6K
6P6Q
6P7H
6P7K
6P7Z
6P81
6P8C
6P8U
6P9K
6P9L
6P9M
6P9V
6PAF
6PAJ
6PBW
6PDQ
6PDR
6PDU
6PE7
6PEC
6PFJ
6PGQ
6PGW
6PHG
6PIR
6PL7
6PL8
6PLC
6PLH
6PNT
6PNV
6PQ6
6PQD
6PQK
6PQS
6PQW
6PRO
6PRR
6PRS
6PS7
6PTH
6PVF
6PVG
6PVH
6PVI
6PVJ
6PWG
6PX4
6PX5
6PXR
6PZ3
6PZ4
6PZG
6Q02
6Q03
6Q0A
6Q0Y
6Q11
6Q19
6Q1A
6Q1E
6Q1G
6Q1J
6Q1K
6Q29
6Q2W
6Q2Y
6Q30
6Q32
6Q36
6Q3T
6Q52
6Q55
6Q5A
6Q68
6Q69
6Q6J
6Q79
6Q7V
6Q8G
6Q9F
6Q9I
6Q9Q
6QA5
6QB3
6QB4
6QBC
6QBD
6QBS
6QCI
6QCU
6QD9
6QDA
6QDB
6QDC
6QDD
6QDE
6QDF
6QDG
6QDH
6QE6
6QEQ
6QFC
6QFE
6QFF
6QFG
6QFH
6QGO
6QH9
6QHA
6QHB
6QHC
6QJ0
6QJ1
6QJF
6QJG
6QJT
6QLM
6QM0
6QN9
6QNN
6QNS
6QO2
6QO3
6QO4
6QO6
6QOA
6QOC
6QOD
6QOE
6QOF
6QOG
6QOH
6QOI
6QOJ
6QOK
6QOL
6QOM
6QON
6QOO
6QOP
6QOQ
6QOR
6QOS
6QOT
6QOU
6QOV
6QOW
6QOX
6QP4
6QQ0
6QQ1
6QQ2
6QQQ
6QQR
6QQS
6QQT
6QQU
6QQV
6QQW
6QQX
6QQY
6QQZ
6QR0
6QR1
6QR2
6QR4
6QR5
6QR6
6QR7
6QR8
6QR9
6QRA
6QRB
6QRC
6QRD
6QRE
6QRF
6QRG
6QRJ
6QST
6QTM
6QU0
6QUH
6QUI
6QUJ
6QVV
6QVY
6QVZ
6QW0
